DYA;R;PIC
-0.5079311567;0.2091666667;1.6675829644
1.2510100837;0.2516666667;2.43337745
1.0879070388;0.2725;0.7869059517
1.4203331756;0.275;0.8977700103
0.2491839237;0.2875;1.8291426588
-0.0500034761;0.31;0.3029933121
-1.5472061062;0.3175;-0.5328973464
-0.5848252849;0.3175;-1.0079397957
0.750380085;0.2858333333;-0.4577428824
-1.1293483268;0.2941666667;0.0083413271
3.5640844684;0.3008333333;-0.1586043156
2.7316604822;0.3133333333;0.3419377002
3.5753771538;0.33;2.1497348053
2.1499078833;0.3591666667;1.8568386885
1.6254375975;0.3666666667;3.5438790038
1.8948066507;0.3975;0.6617444893
2.0046162391;0.4258333333;0.0613355842
0.0237692115;0.4275;1.1355531083
0.9499567561;0.4166666667;-0.0454786637
0.0774779917;0.4366666667;0.1212305043
0.3991732543;0.4708333333;1.1144693663
2.8897016536;0.4983333333;0.2692194267
0.929427927;0.52;0.0224022702
0.5522419032;0.5633333333;0.2013949139
-0.7836848182;0.5141666667;0.4164194001
-1.8641499459;0.3933333333;0.1853431231
-0.8253889416;0.29;0.3179888056
-0.1686646843;0.2225;0.0885608914
0.8774572121;0.2575;0.1326944537
1.6225731586;0.2466666667;0.2722091068
2.500532445;0.3358333333;0.4691058958
1.2455350896;0.375;0.4086702032
1.0227520803;0.485;0.6967152067
0.3241076782;0.5891666667;0.9859386836
-0.6582808382;0.6208333333;0.9975855853
0.5481010874;0.6733333333;0.5867607234
-0.3832681448;0.7025;1.2468640101
1.3470266119;0.7316666667;0.402946217
0.3789109186;0.7333333333;1.3634696834
-0.5098633614;0.75;0.6952045448
0.6318333308;0.8083333333;0.5959251062
-1.4260854657;0.8133333333;0.067494603
-2.9580677963;0.4658333333;1.0804386551
0.39398513;0.235;0.2865999896
2.0102791324;0.3308333333;0.6104457945
1.9281962803;0.5408333333;0.4751543289
1.5238134866;0.6425;0.2301648338
1.8589074331;0.7708333333;0.1575216918
-0.2871987792;0.8941666667;0.3861893198
-0.0328184506;0.9975;0.3912112964
1.5447995436;0.9833333333;0.3961687273
-0.8213159824;0.9241666667;0.252468171
0.169402607;0.7341666667;0.3420792699
-1.6428558741;0.5741666667;0.2959533782
0.3084641673;0.5008333333;0.2181865718
1.3613712689;0.4333333333;0.2305033675
1.595248136;0.4208333333;0.2554932407
1.7839802038;0.6;0.3120922249
1.6094973818;0.6141666667;0.5137812196
0.5322321215;0.6516666667;0.1643593517
